Time (-),FRC-01 [kN],FRC-02 [kN]
2022-11-04 08:40:59.857,244.617484375,243.8645625
2022-11-04 08:40:59.867,244.5673125,243.856671875
2022-11-04 08:40:59.877,244.647359375,243.841453125
2022-11-04 08:40:59.887,244.612984375,243.831875
2022-11-04 08:40:59.897,244.607328125,243.87696875
2022-11-04 08:40:59.907,244.6259375,243.851015625
2022-11-04 08:40:59.917,244.611296875,243.8346875
2022-11-04 08:40:59.927,244.6490625,243.8746875
2022-11-04 08:40:59.937,244.62425,243.891046875
2022-11-04 08:40:59.947,244.613546875,243.88315625
2022-11-04 08:40:59.957,244.6490625,243.8668125
2022-11-04 08:40:59.967,244.63553125,243.87753125
2022-11-04 08:40:59.977,244.63046875,243.865125
2022-11-04 08:40:59.987,244.615796875,243.860046875
2022-11-04 08:40:59.997,244.617484375,243.8313125
2022-11-04 08:41:00.007,244.62875,243.862296875
2022-11-04 08:41:00.017,244.641734375,243.8713125
2022-11-04 08:41:00.027,244.576328125,243.8645625
2022-11-04 08:41:00.037,244.63159375,243.856671875
2022-11-04 08:41:00.047,244.618046875,243.861171875
2022-11-04 08:41:00.057,244.5960625,243.867375
2022-11-04 08:41:00.067,244.63665625,243.83975
2022-11-04 08:41:00.077,244.6281875,243.893296875
2022-11-04 08:41:00.087,244.625375,243.893859375
2022-11-04 08:41:00.097,244.6225625,243.845953125
2022-11-04 08:41:00.107,244.616921875,243.862296875
2022-11-04 08:41:00.117,244.63215625,243.849328125
2022-11-04 08:41:00.127,244.6265,243.861171875
2022-11-04 08:41:00.137,244.627625,243.846515625
2022-11-04 08:41:00.147,244.63159375,243.847078125
2022-11-04 08:41:00.157,244.609578125,243.856109375
2022-11-04 08:41:00.167,244.63609375,243.87528125
2022-11-04 08:41:00.177,244.6214375,243.86625
2022-11-04 08:41:00.187,244.615234375,243.86625
2022-11-04 08:41:00.197,244.651875,243.8375
2022-11-04 08:41:00.207,244.615234375,243.8645625
2022-11-04 08:41:00.217,244.651875,243.843140625
2022-11-04 08:41:00.227,244.598875,243.845953125
2022-11-04 08:41:00.237,244.645671875,243.87528125
2022-11-04 08:41:00.247,244.6236875,243.899515625
2022-11-04 08:41:00.257,244.63271875,243.851015625
2022-11-04 08:41:00.267,244.6214375,243.857234375
2022-11-04 08:41:00.277,244.644546875,243.88484375
2022-11-04 08:41:00.287,244.642296875,243.894984375
2022-11-04 08:41:00.297,244.6270625,243.853296875
2022-11-04 08:41:00.307,244.6501875,243.867375
2022-11-04 08:41:00.317,244.645109375,243.895546875
2022-11-04 08:41:00.327,244.617484375,243.88428125
2022-11-04 08:41:00.337,244.63609375,243.894421875
2022-11-04 08:41:00.347,244.6281875,243.847078125
2022-11-04 08:41:00.357,244.66203125,243.860046875
2022-11-04 08:41:00.367,244.6513125,243.889921875
2022-11-04 08:41:00.377,244.619171875,243.854984375
2022-11-04 08:41:00.387,244.605640625,243.87865625
2022-11-04 08:41:00.397,244.63046875,243.843703125
2022-11-04 08:41:00.407,244.616359375,243.87865625
2022-11-04 08:41:00.417,244.643421875,243.848765625
2022-11-04 08:41:00.427,244.616359375,243.857796875
2022-11-04 08:41:00.437,244.66259375,243.82509375
2022-11-04 08:41:00.447,244.646796875,243.831875
2022-11-04 08:41:00.457,244.63384375,243.858921875
2022-11-04 08:41:00.467,244.5983125,243.87640625
2022-11-04 08:41:00.477,244.643421875,243.854421875
2022-11-04 08:41:00.487,244.615234375,243.836375
2022-11-04 08:41:00.497,244.63046875,243.8701875
2022-11-04 08:41:00.507,244.607328125,243.906265625
2022-11-04 08:41:00.517,244.6248125,243.891609375
2022-11-04 08:41:00.527,244.657515625,243.87978125
2022-11-04 08:41:00.537,244.66146875,243.906828125
2022-11-04 08:41:00.547,244.619734375,243.8645625
2022-11-04 08:41:00.557,244.620875,243.874125
2022-11-04 08:41:00.567,244.63215625,243.90909375
2022-11-04 08:41:00.577,244.63834375,243.885984375
2022-11-04 08:41:00.587,244.609578125,243.814390625
2022-11-04 08:41:00.597,244.6236875,243.859484375
2022-11-04 08:41:00.607,244.590421875,243.846515625
2022-11-04 08:41:00.617,244.66315625,243.814390625
2022-11-04 08:41:00.627,244.601140625,243.8346875
